secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,rate
108105,20190530,64881510,SPX,9999,1,32768,,A,,1.944747
108105,20190531,64881510,SPX,9999,1,32768,,A,,1.941951
108105,20190603,64881510,SPX,9999,1,32768,,A,,1.938411
108105,20190604,64881510,SPX,9999,1,32768,,A,,1.938557
108105,20190605,64881510,SPX,9999,1,32768,,A,,1.939993
108105,20190606,64881510,SPX,9999,1,32768,,A,,1.939043
108105,20190607,64881510,SPX,9999,1,32768,,A,,1.938338
108105,20190610,64881510,SPX,9999,1,32768,,A,,1.93885
108105,20190611,64881510,SPX,9999,1,32768,,A,,1.941421
108105,20190612,64881510,SPX,9999,1,32768,,A,,1.939674
108105,20190613,64881510,SPX,9999,1,32768,,A,,1.933502
108105,20190614,64881510,SPX,9999,1,32768,,A,,1.936109
108105,20190617,64881510,SPX,9999,1,32768,,A,,1.93753
108105,20190618,64881510,SPX,9999,1,32768,,A,,1.939834
108105,20190619,64881510,SPX,9999,1,32768,,A,,1.939265
108105,20190620,64881510,SPX,9999,1,32768,,A,,1.935346
108105,20190621,64881510,SPX,9999,1,32768,,A,,1.932037
108105,20190624,64881510,SPX,9999,1,32768,,A,,1.934686
108105,20190625,64881510,SPX,9999,1,32768,,A,,1.936692
108105,20190626,64881510,SPX,9999,1,32768,,A,,1.93394
108105,20190627,64881510,SPX,9999,1,32768,,A,,1.934222
108105,20190628,64881510,SPX,9999,1,32768,,A,,1.943578
108105,20190701,64881510,SPX,9999,1,32768,,A,,1.94726
108105,20190702,64881510,SPX,9999,1,32768,,A,,1.955975
108105,20190703,64881510,SPX,9999,1,32768,,A,,1.971183
108105,20190705,64881510,SPX,9999,1,32768,,A,,1.98258
108105,20190708,64881510,SPX,9999,1,32768,,A,,1.990047
108105,20190709,64881510,SPX,9999,1,32768,,A,,1.990574
108105,20190710,64881510,SPX,9999,1,32768,,A,,1.9942
108105,20190711,64881510,SPX,9999,1,32768,,A,,1.99963
108105,20190712,64881510,SPX,9999,1,32768,,A,,1.999837
108105,20190715,64881510,SPX,9999,1,32768,,A,,2.012036
108105,20190716,64881510,SPX,9999,1,32768,,A,,2.010213
108105,20190717,64881510,SPX,9999,1,32768,,A,,2.006804
108105,20190718,64881510,SPX,9999,1,32768,,A,,2.011033
108105,20190719,64881510,SPX,9999,1,32768,,A,,2.009867
108105,20190722,64881510,SPX,9999,1,32768,,A,,2.009335
108105,20190723,64881510,SPX,9999,1,32768,,A,,2.016957
108105,20190724,64881510,SPX,9999,1,32768,,A,,2.02671
108105,20190725,64881510,SPX,9999,1,32768,,A,,2.041187
108105,20190726,64881510,SPX,9999,1,32768,,A,,2.045624
108105,20190729,64881510,SPX,9999,1,32768,,A,,2.051078
108105,20190730,64881510,SPX,9999,1,32768,,A,,2.056701
108105,20190731,64881510,SPX,9999,1,32768,,A,,2.053841
108105,20190801,64881510,SPX,9999,1,32768,,A,,2.056334
108105,20190802,64881510,SPX,9999,1,32768,,A,,2.055398
108105,20190805,64881510,SPX,9999,1,32768,,A,,2.047849
108105,20190806,64881510,SPX,9999,1,32768,,A,,2.03542
108105,20190807,64881510,SPX,9999,1,32768,,A,,2.044098
108105,20190808,64881510,SPX,9999,1,32768,,A,,2.046588
108105,20190809,64881510,SPX,9999,1,32768,,A,,2.040855
108105,20190812,64881510,SPX,9999,1,32768,,A,,2.033506
108105,20190813,64881510,SPX,9999,1,32768,,A,,2.028998
108105,20190814,64881510,SPX,9999,1,32768,,A,,2.0212
108105,20190815,64881510,SPX,9999,1,32768,,A,,2.019171
108105,20190816,64881510,SPX,9999,1,32768,,A,,2.01669
108105,20190819,64881510,SPX,9999,1,32768,,A,,2.014357
108105,20190820,64881510,SPX,9999,1,32768,,A,,2.01236
108105,20190821,64881510,SPX,9999,1,32768,,A,,2.004138
108105,20190822,64881510,SPX,9999,1,32768,,A,,2.002195
108105,20190823,64881510,SPX,9999,1,32768,,A,,1.975913
108105,20190826,64881510,SPX,9999,1,32768,,A,,1.954702
108105,20190827,64881510,SPX,9999,1,32768,,A,,1.950504
108105,20190828,64881510,SPX,9999,1,32768,,A,,1.94736
108105,20190829,64881510,SPX,9999,1,32768,,A,,1.933675
108105,20190830,64881510,SPX,9999,1,32768,,A,,1.920785
108105,20190903,64881510,SPX,9999,1,32768,,A,,1.910676
108105,20190904,64881510,SPX,9999,1,32768,,A,,1.913252
108105,20190905,64881510,SPX,9999,1,32768,,A,,1.913921
108105,20190906,64881510,SPX,9999,1,32768,,A,,1.910283
108105,20190909,64881510,SPX,9999,1,32768,,A,,1.900719
108105,20190910,64881510,SPX,9999,1,32768,,A,,1.889706
108105,20190911,64881510,SPX,9999,1,32768,,A,,1.892229
108105,20190912,64881510,SPX,9999,1,32768,,A,,1.886797
108105,20190913,64881510,SPX,9999,1,32768,,A,,1.884049
108105,20190916,64881510,SPX,9999,1,32768,,A,,1.875912
108105,20190917,64881510,SPX,9999,1,32768,,A,,1.875605
108105,20190918,64881510,SPX,9999,1,32768,,A,,1.872829
108105,20190919,64881510,SPX,9999,1,32768,,A,,1.872986
108105,20190920,64881510,SPX,9999,1,32768,,A,,1.862065
108105,20190923,64881510,SPX,9999,1,32768,,A,,1.865564
108105,20190924,64881510,SPX,9999,1,32768,,A,,1.868145
108105,20190925,64881510,SPX,9999,1,32768,,A,,1.865037
108105,20190926,64881510,SPX,9999,1,32768,,A,,1.860082
108105,20190927,64881510,SPX,9999,1,32768,,A,,1.858412
108105,20190930,64881510,SPX,9999,1,32768,,A,,1.850595
108105,20191001,64881510,SPX,9999,1,32768,,A,,1.854274
108105,20191002,64881510,SPX,9999,1,32768,,A,,1.849344
108105,20191003,64881510,SPX,9999,1,32768,,A,,1.8499
108105,20191004,64881510,SPX,9999,1,32768,,A,,1.848319
108105,20191007,64881510,SPX,9999,1,32768,,A,,1.835897
108105,20191008,64881510,SPX,9999,1,32768,,A,,1.836752
108105,20191009,64881510,SPX,9999,1,32768,,A,,1.839214
108105,20191010,64881510,SPX,9999,1,32768,,A,,1.841653
108105,20191011,64881510,SPX,9999,1,32768,,A,,1.841097
108105,20191014,64881510,SPX,9999,1,32768,,A,,1.852723
108105,20191015,64881510,SPX,9999,1,32768,,A,,1.850532
108105,20191016,64881510,SPX,9999,1,32768,,A,,1.856075
108105,20191017,64881510,SPX,9999,1,32768,,A,,1.864667
108105,20191018,64881510,SPX,9999,1,32768,,A,,1.864416
108105,20191021,64881510,SPX,9999,1,32768,,A,,1.869068
108105,20191022,64881510,SPX,9999,1,32768,,A,,1.869181
108105,20191023,64881510,SPX,9999,1,32768,,A,,1.876508
108105,20191024,64881510,SPX,9999,1,32768,,A,,1.882775
108105,20191025,64881510,SPX,9999,1,32768,,A,,1.889191
108105,20191028,64881510,SPX,9999,1,32768,,A,,1.904621
108105,20191029,64881510,SPX,9999,1,32768,,A,,1.905698
108105,20191030,64881510,SPX,9999,1,32768,,A,,1.885541
108105,20191031,64881510,SPX,9999,1,32768,,A,,1.913427
108105,20191101,64881510,SPX,9999,1,32768,,A,,1.937298
108105,20191104,64881510,SPX,9999,1,32768,,A,,1.943053
108105,20191105,64881510,SPX,9999,1,32768,,A,,1.944471
108105,20191106,64881510,SPX,9999,1,32768,,A,,1.951796
108105,20191107,64881510,SPX,9999,1,32768,,A,,1.950879
108105,20191108,64881510,SPX,9999,1,32768,,A,,1.940388
108105,20191111,64881510,SPX,9999,1,32768,,A,,1.943853
108105,20191112,64881510,SPX,9999,1,32768,,A,,1.940303
108105,20191113,64881510,SPX,9999,1,32768,,A,,1.929724
108105,20191114,64881510,SPX,9999,1,32768,,A,,1.926462
108105,20191115,64881510,SPX,9999,1,32768,,A,,1.911848
108105,20191118,64881510,SPX,9999,1,32768,,A,,1.897751
108105,20191119,64881510,SPX,9999,1,32768,,A,,1.887696
108105,20191120,64881510,SPX,9999,1,32768,,A,,1.88778
108105,20191121,64881510,SPX,9999,1,32768,,A,,1.882389
108105,20191122,64881510,SPX,9999,1,32768,,A,,1.878707
108105,20191125,64881510,SPX,9999,1,32768,,A,,1.90384
108105,20191126,64881510,SPX,9999,1,32768,,A,,1.898312
108105,20191127,64881510,SPX,9999,1,32768,,A,,1.90931
108105,20191129,64881510,SPX,9999,1,32768,,A,,1.90461
108105,20191202,64881510,SPX,9999,1,32768,,A,,1.896317
108105,20191203,64881510,SPX,9999,1,32768,,A,,1.894015
108105,20191204,64881510,SPX,9999,1,32768,,A,,1.890403
108105,20191205,64881510,SPX,9999,1,32768,,A,,1.888819
108105,20191206,64881510,SPX,9999,1,32768,,A,,1.882412
108105,20191209,64881510,SPX,9999,1,32768,,A,,1.874357
108105,20191210,64881510,SPX,9999,1,32768,,A,,1.869834
108105,20191211,64881510,SPX,9999,1,32768,,A,,1.865037
108105,20191212,64881510,SPX,9999,1,32768,,A,,1.854687
108105,20191213,64881510,SPX,9999,1,32768,,A,,1.836198
108105,20191216,64881510,SPX,9999,1,32768,,A,,1.820232
108105,20191217,64881510,SPX,9999,1,32768,,A,,1.808876
108105,20191218,64881510,SPX,9999,1,32768,,A,,1.784528
108105,20191219,64881510,SPX,9999,1,32768,,A,,1.781813
108105,20191220,64881510,SPX,9999,1,32768,,A,,1.770206
108105,20191223,64881510,SPX,9999,1,32768,,A,,1.766218
108105,20191224,64881510,SPX,9999,1,32768,,A,,1.767199
108105,20191226,64881510,SPX,9999,1,32768,,A,,1.77341
108105,20191227,64881510,SPX,9999,1,32768,,A,,1.774182
108105,20191230,64881510,SPX,9999,1,32768,,A,,1.775591
108105,20191231,64881510,SPX,9999,1,32768,,A,,1.781135
108105,20200102,64881510,SPX,9999,1,32768,,A,,1.777138
108105,20200103,64881510,SPX,9999,1,32768,,A,,1.78377
108105,20200106,64881510,SPX,9999,1,32768,,A,,1.804811
108105,20200107,64881510,SPX,9999,1,32768,,A,,1.809661
108105,20200108,64881510,SPX,9999,1,32768,,A,,1.7979
108105,20200109,64881510,SPX,9999,1,32768,,A,,1.798852
108105,20200110,64881510,SPX,9999,1,32768,,A,,1.802418
108105,20200113,64881510,SPX,9999,1,32768,,A,,1.799066
108105,20200114,64881510,SPX,9999,1,32768,,A,,1.80384
108105,20200115,64881510,SPX,9999,1,32768,,A,,1.81248
108105,20200116,64881510,SPX,9999,1,32768,,A,,1.809332
108105,20200117,64881510,SPX,9999,1,32768,,A,,1.818453
108105,20200121,64881510,SPX,9999,1,32768,,A,,1.800634
108105,20200122,64881510,SPX,9999,1,32768,,A,,1.799731
108105,20200123,64881510,SPX,9999,1,32768,,A,,1.796807
108105,20200124,64881510,SPX,9999,1,32768,,A,,1.804008
108105,20200127,64881510,SPX,9999,1,32768,,A,,1.805183
108105,20200128,64881510,SPX,9999,1,32768,,A,,1.805485
108105,20200129,64881510,SPX,9999,1,32768,,A,,1.808029
108105,20200130,64881510,SPX,9999,1,32768,,A,,1.815291
108105,20200131,64881510,SPX,9999,1,32768,,A,,1.8248
108105,20200203,64881510,SPX,9999,1,32768,,A,,1.839633
108105,20200204,64881510,SPX,9999,1,32768,,A,,1.839229
108105,20200205,64881510,SPX,9999,1,32768,,A,,1.84065
108105,20200206,64881510,SPX,9999,1,32768,,A,,1.847855
108105,20200207,64881510,SPX,9999,1,32768,,A,,1.857658
108105,20200210,64881510,SPX,9999,1,32768,,A,,1.872237
108105,20200211,64881510,SPX,9999,1,32768,,A,,1.87508
108105,20200212,64881510,SPX,9999,1,32768,,A,,1.879901
108105,20200213,64881510,SPX,9999,1,32768,,A,,1.883068
108105,20200214,64881510,SPX,9999,1,32768,,A,,1.884513
108105,20200218,64881510,SPX,9999,1,32768,,A,,1.889368
108105,20200219,64881510,SPX,9999,1,32768,,A,,1.886334
108105,20200220,64881510,SPX,9999,1,32768,,A,,1.884728
108105,20200221,64881510,SPX,9999,1,32768,,A,,1.887035
108105,20200224,64881510,SPX,9999,1,32768,,A,,1.895006
108105,20200225,64881510,SPX,9999,1,32768,,A,,1.886072
108105,20200226,64881510,SPX,9999,1,32768,,A,,1.883378
108105,20200227,64881510,SPX,9999,1,32768,,A,,1.902935
108105,20200228,64881510,SPX,9999,1,32768,,A,,1.67057
108105,20200302,64881510,SPX,9999,1,32768,,A,,1.60097
108105,20200303,64881510,SPX,9999,1,32768,,A,,1.495748
108105,20200304,64881510,SPX,9999,1,32768,,A,,1.45109
108105,20200305,64881510,SPX,9999,1,32768,,A,,1.377754
108105,20200306,64881510,SPX,9999,1,32768,,A,,1.315152
108105,20200309,64881510,SPX,9999,1,32768,,A,,1.162811
108105,20200310,64881510,SPX,9999,1,32768,,A,,0.98634
108105,20200311,64881510,SPX,9999,1,32768,,A,,0.915227
108105,20200312,64881510,SPX,9999,1,32768,,A,,0.698042
108105,20200313,64881510,SPX,9999,1,32768,,A,,0.280744
108105,20200316,64881510,SPX,9999,1,32768,,A,,0.395631
108105,20200317,64881510,SPX,9999,1,32768,,A,,0
108105,20200318,64881510,SPX,9999,1,32768,,A,,0
108105,20200319,64881510,SPX,9999,1,32768,,A,,0
108105,20200320,64881510,SPX,9999,1,32768,,A,,0
108105,20200323,64881510,SPX,9999,1,32768,,A,,0
108105,20200324,64881510,SPX,9999,1,32768,,A,,0
108105,20200325,64881510,SPX,9999,1,32768,,A,,0
